service_id,date,exception_type
20220522_MTWTF--_1,20240115,1
20220522_MTWTF--_2,20240115,1
20220522_MTWTF--_3,20240115,1
20230820_MTWTF--_42,20240115,1
20230821_MTWTF--_48,20240115,1
20230821_MTWTF--_49,20240115,1
20240101_M-W-F--_58,20240115,1
20240101_MT--F--_59,20240115,1
20240101_MT-TF--_60,20240115,1
20240101_MTW-F--_61,20240115,1
20240101_MTWT---_62,20240115,1
20240101_MTWTF--_63,20240115,1
20240101_MTWTF--_99663,20240115,1
20240102_M-W-F--_95,20240115,1
20240105_MTWTF--_66,20240115,1
20240105_MTWTF--_67,20240115,1
20220522_MTWTF--_1,20240116,1
20220522_MTWTF--_2,20240116,1
20220522_MTWTF--_3,20240116,1
20230820_MTWTF--_42,20240116,1
20230821_MTWTF--_48,20240116,1
20230821_MTWTF--_49,20240116,1
20240101_MT--F--_59,20240116,1
20240101_MT-TF--_60,20240116,1
20240101_MTW-F--_61,20240116,1
20240101_MTWT---_62,20240116,1
20240101_MTWTF--_63,20240116,1
20240101_MTWTF--_99663,20240116,1
20240105_MTWTF--_66,20240116,1
20240105_MTWTF--_67,20240116,1
20220522_MTWTF--_1,20240117,1
20220522_MTWTF--_2,20240117,1
20220522_MTWTF--_3,20240117,1
20230820_MTWTF--_42,20240117,1
20230821_MTWTF--_48,20240117,1
20230821_MTWTF--_49,20240117,1
20240101_--W----_56,20240117,1
20240101_--WT---_57,20240117,1
20240101_M-W-F--_58,20240117,1
20240101_MTW-F--_61,20240117,1
20240101_MTWT---_62,20240117,1
20240101_MTWTF--_63,20240117,1
20240101_MTWTF--_99663,20240117,1
20240102_M-W-F--_95,20240117,1
20240105_MTWTF--_66,20240117,1
20240105_MTWTF--_67,20240117,1
20220522_MTWTF--_1,20240118,1
20220522_MTWTF--_2,20240118,1
20220522_MTWTF--_3,20240118,1
20230820_MTWTF--_42,20240118,1
20230821_MTWTF--_48,20240118,1
20230821_MTWTF--_49,20240118,1
20240101_---T---_55,20240118,1
20240101_--WT---_57,20240118,1
20240101_MT-TF--_60,20240118,1
20240101_MTWT---_62,20240118,1
20240101_MTWTF--_63,20240118,1
20240101_MTWTF--_99663,20240118,1
20240102_---T---_94,20240118,1
20240105_MTWTF--_66,20240118,1
20240105_MTWTF--_67,20240118,1
20220522_MTWTF--_1,20240119,1
20220522_MTWTF--_2,20240119,1
20220522_MTWTF--_3,20240119,1
20230820_----F--_41,20240119,1
20230820_MTWTF--_42,20240119,1
20230821_MTWTF--_48,20240119,1
20230821_MTWTF--_49,20240119,1
20240101_----F--_54,20240119,1
20240101_----F--_69,20240119,1
20240101_M-W-F--_58,20240119,1
20240101_MT--F--_59,20240119,1
20240101_MT-TF--_60,20240119,1
20240101_MTW-F--_61,20240119,1
20240101_MTWTF--_63,20240119,1
20240101_MTWTF--_99663,20240119,1
20240102_M-W-F--_95,20240119,1
20240105_MTWTF--_66,20240119,1
20240105_MTWTF--_67,20240119,1
20220522_-----S-_5,20240120,1
20230820_-----S-_40,20240120,1
20230820_-----S-_44,20240120,1
20230821_-----S-_50,20240120,1
20240101_-----S-_53,20240120,1
