route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
AF.91,20240101_-----S-_99653,543796,,,0,6193_91-A,91_1006682_1_30
AF.91,20240101_-----S-_99653,543804,,,1,6193_91-A,91_1006682_2_72
AF.91,20240101_MTWTF--_99663,543797,,,0,6189_91-A,91_1006682_1_30
AF.91,20240101_MTWTF--_99663,543800,,,0,6189_91-A,91_1006682_1_30
AF.91,20240101_MTWTF--_99663,543801,,,1,6189_91-A,91_1006682_2_67
AF.91,20240101_MTWTF--_99663,543802,,,1,6189_91-A,91_1006682_2_72
AF.92,20240101_MTWTF--_99663,543806,,,0,,92_1006682_1_1
AF.92,20240101_MTWTF--_99663,543807,,,0,,92_1006682_1_1
AF.92,20240101_MTWTF--_99663,543808,,,0,6176_92-A,92_1006682_1_1
AF.92,20240101_MTWTF--_99663,543809,,,1,,92_1006682_2_51
AF.92,20240101_MTWTF--_99663,543810,,,1,6176_92-A,92_1006682_2_51
AF.92,20240101_MTWTF--_99663,543811,,,1,6176_92-A,92_1006682_2_51
AF.93,20240101_-----S-_99653,543815,,,0,6194_93-A,93_1006682_1_1
AF.93,20240101_-----S-_99653,543820,,,1,6194_93-A,93_1006682_2_4
AF.93,20240101_MTWTF--_99663,543812,,,0,6188_93-A,93_1006682_1_1
AF.93,20240101_MTWTF--_99663,543813,,,0,6188_93-A,93_1006682_1_1
AF.93,20240101_MTWTF--_99663,543819,,,1,6188_93-A,93_1006682_2_4
AF.93,20240101_MTWTF--_99663,543822,,,1,6188_93-A,93_1006682_2_4
AF.93,20240319_-T-----_91,543817,,,0,6188_93-A,93_1006682_1_1
AF.93,20240319_-T-----_91,543824,,,1,6188_93-A,93_1006682_2_4
AF.94,20240102_------S_93,543831,,,0,,94_1006682_1_12
AF.94,20240102_------S_93,543836,,,1,,
AF.94,20240102_---T---_94,543830,,,0,,94_1006682_1_12
AF.94,20240102_---T---_94,543837,,,1,,
AF.94,20240102_M-W-F--_95,543829,,,0,,94_1006682_1_12
AF.94,20240102_M-W-F--_95,543835,,,1,,
AF.95,20240101_MTWTF--_99663,543838,,,0,6191_95-A,95_1006682_1_1
AF.95,20240101_MTWTF--_99663,543839,,,1,6191_95-A,95_1006682_2_51
AF.96,20240101_MTWTF--_99663,543840,Fáskrúðsfjörður,,0,,96_1006682_1_1
AF.96,20240101_MTWTF--_99663,543841,Reyðarfjörður,,0,,96_1006682_1_2
AF.96,20240101_MTWTF--_99663,543842,Fáskrúðsfjörður,,0,,96_1006682_1_3
AF.96,20240101_MTWTF--_99663,543843,Fáskrúðsfjörður,,0,,96_1006682_1_4
AF.96,20240101_MTWTF--_99663,543844,Fáskúðsfjörður,,0,,96_1006682_1_4
AF.96,20240101_MTWTF--_99663,543845,Fáskrúðsfjörður,,0,,96_1006682_1_4
AF.96,20240101_MTWTF--_99663,543846,Norðfjörður,,1,,96_1006682_2_51
